Country Code,Year,Sex Ratio
PHL,2004,3.1185344827586206
PNG,2004,2.8679245283018866
POL,2004,6.060459492140266
PRT,2004,3.391304347826087
PRY,2004,2.3048780487804876
QAT,2004,8.6
ROU,2004,5.588068181818182
RUS,2004,5.55966735966736
RWA,2004,2.5294117647058822
SAU,2004,5.552238805970149
SDN,2004,1.9575645756457565
SEN,2004,3.2711864406779663
SGP,2004,1.832258064516129
SLB,2004,18.0
SLE,2004,2.1443298969072164
SLV,2004,4.376470588235295
SOM,2004,3.295
SRB,2004,3.1153846153846154
SSD,2004,3.0074626865671643
STP,2004,3.0
SUR,2004,3.6551724137931036
SVK,2004,5.133333333333334
SVN,2004,2.8205128205128207
SWE,2004,2.6271186440677967
SWZ,2004,2.727272727272727
SYC,2004,7.0
SYR,2004,4.327868852459017
TCD,2004,3.2868852459016393
TGO,2004,3.1181102362204722
THA,2004,3.3393939393939394
TJK,2004,2.3777777777777778
TKM,2004,4.388059701492537
TLS,2004,2.230769230769231
TON,2004,1.5
TTO,2004,4.620689655172414
TUN,2004,2.048
TUR,2004,2.9705882352941178
TZA,2004,3.007476635514019
UGA,2004,4.56093023255814
UKR,2004,6.575604272062956
URY,2004,3.74
USA,2004,3.5630288254696687
UZB,2004,3.3993174061433447
VCT,2004,5.0
VEN,2004,5.447115384615385
VNM,2004,2.0035514967021815
VUT,2004,4.0
WSM,2004,3.5
YEM,2004,1.6722129783693844
ZAF,2004,3.202257761053622
ZMB,2004,2.9424460431654675
ZWE,2004,1.7744897959183674
AFG,2005,1.1240478781284005
AGO,2005,4.1004709576138145
ALB,2005,1.9743589743589745
ARE,2005,5.1
ARG,2005,3.8328571428571427
ARM,2005,3.2142857142857144
ATG,2005,inf
AUS,2005,3.5955555555555554
AUT,2005,3.18796992481203
AZE,2005,3.7411764705882353
BDI,2005,2.284688995215311
BEL,2005,2.734042553191489
BEN,2005,3.187074829931973
BFA,2005,3.0886524822695036
BGD,2005,2.8013765978367746
BGR,2005,3.110497237569061
BHR,2005,5.461538461538462
BHS,2005,4.0
BIH,2005,4.0
BLR,2005,6.034951456310679
BLZ,2005,5.666666666666667
BOL,2005,2.1545454545454548
BRA,2005,3.5538387252535006
BRB,2005,5.0
BRN,2005,3.0
BTN,2005,2.1666666666666665
BWA,2005,3.338709677419355
CAF,2005,3.7613168724279835
CAN,2005,2.948955916473318
CHE,2005,2.2755417956656347
CHL,2005,4.935361216730038
CHN,2005,1.34305791868974
CIV,2005,5.103161397670549
CMR,2005,3.1466372657111354
COD,2005,3.8675937122128174
COG,2005,2.270935960591133
COL,2005,3.363218390804598
COM,2005,1.85
CPV,2005,5.133333333333334
CRI,2005,6.024390243902439
